iter	Passed	Remaining
300	19433	12848
301	19514	12794
302	19597	12741
303	19701	12702
304	19769	12639
305	19852	12586
306	19939	12535
307	20020	12480
308	20109	12430
309	20184	12370
310	20270	12318
311	20334	12253
312	20412	12195
313	20484	12134
314	20582	12088
315	20659	12029
316	20739	11972
317	20818	11915
318	20903	11860
319	21000	11812
320	21245	11847
321	21340	11796
322	21403	11728
323	21467	11661
324	21529	11593
325	21591	11524
326	21656	11457
327	21729	11394
328	21807	11334
329	21881	11272
330	21961	11212
331	22040	11153
332	22104	11085
333	22158	11012
334	22226	10947
335	22290	10879
336	22352	10811
337	22417	10744
338	22467	10670
339	22531	10603
340	22594	10535
341	22655	10466
342	22719	10399
343	22787	10333
344	22841	10262
345	22908	10196
346	22979	10132
347	23056	10070
348	23136	10010
349	23198	9942
350	23262	9875
351	23325	9807
352	23393	9741
353	23464	9677
354	23534	9612
355	23590	9542
356	23656	9475
357	23721	9409
358	23790	9344
359	23861	9279
360	23920	9210
361	23976	9140
362	24035	9071
363	24093	9001
364	24150	8932
365	24216	8866
366	24291	8803
367	24352	8735
368	24450	8680
369	24530	8618
370	24596	8552
371	24662	8485
372	24730	8420
373	24797	8354
374	24856	8285
375	24917	8217
376	24985	8151
377	25043	8082
378	25099	8013
379	25176	7950
380	25244	7884
381	25310	7818
382	25373	7751
383	25432	7682
384	25496	7615
385	25556	7547
386	25619	7480
387	25685	7414
388	25752	7348
389	25850	7291
390	25924	7227
391	26024	7170
392	26106	7107
393	26192	7046
394	26276	6984
395	26350	6920
396	26428	6856
397	26512	6794
398	26585	6729
399	26657	6664
