iter	Accuracy	Logloss
225	0.8406300759	0.3171777251
226	0.8406300759	0.3169753978
227	0.8408567219	0.3167140858
228	0.8410455936	0.3165141714
229	0.8410455936	0.3162336487
230	0.8412722396	0.3160192831
231	0.841649983	0.3157856285
232	0.8418010803	0.3155214934
233	0.8420655007	0.3152921231
234	0.8424054697	0.3151673813
235	0.8422921467	0.3150114213
236	0.8423676954	0.3148300153
237	0.8423676954	0.31462322
238	0.8425565671	0.3143192899
239	0.8430098591	0.3139537696
240	0.8431987308	0.3137438414
241	0.8431231821	0.3135054789
242	0.8437275715	0.3133236828
243	0.8442186379	0.3128718093
244	0.8442186379	0.3126567379
245	0.8442564122	0.3120677828
246	0.8445586069	0.3118683111
247	0.8447852529	0.3116234498
248	0.8453518679	0.3113964573
249	0.8451629963	0.3111944652
250	0.8453896423	0.310943335
251	0.8455407396	0.3107720682
252	0.8457673856	0.3105380487
253	0.8462206777	0.3102039415
254	0.8462962263	0.3099883153
255	0.846145129	0.309830787
256	0.8462206777	0.3096319332
257	0.8464473237	0.3094476663
258	0.8465228724	0.3092738075
259	0.8467872927	0.3090761288
260	0.8469761644	0.3089211661
261	0.8472028104	0.3086551638
262	0.8476183281	0.3083136823
263	0.8479205228	0.3081733228
264	0.8482982662	0.307855617
265	0.8482227175	0.3075756874
266	0.8479205228	0.3072366583
267	0.8480338458	0.3071181895
268	0.8486760095	0.3068235879
269	0.8489404299	0.3066352924
270	0.8491670759	0.3064219077
271	0.8499225626	0.3061522604
272	0.850413629	0.3058701283
273	0.850300306	0.3056942204
274	0.8504891777	0.3055426442
275	0.8505647263	0.3052620507
276	0.8507913723	0.3050459057
277	0.8510180184	0.304861339
278	0.8512446644	0.3046626997
279	0.8515090847	0.3044407265
280	0.8510557927	0.3038396404
281	0.8514335361	0.3035313174
282	0.8518490538	0.3033181881
283	0.8520379254	0.303035919
284	0.8521890228	0.3027500205
285	0.8525667661	0.3024577155
286	0.8528689608	0.3023095285
287	0.8527934122	0.3021825341
288	0.8530200582	0.3020344218
289	0.8531333812	0.3017979468
290	0.8532089299	0.301602652
291	0.8537755449	0.3013818955
292	0.8541910626	0.3010930393
293	0.8547576776	0.3007835414
294	0.854795452	0.3004388961
295	0.8548332263	0.3001425962
296	0.8549843237	0.2998867416
297	0.855022098	0.2996358376
298	0.8555131644	0.2994088046
299	0.855702036	0.299200021
300	0.8560042307	0.2990315175
301	0.8561175537	0.2987823759
302	0.8561931024	0.2986200124
303	0.8564575228	0.298396324
304	0.8568352661	0.2981722762
305	0.8569863635	0.2979137321
306	0.8572885582	0.297683163
307	0.8574018812	0.2975264374
308	0.8578551732	0.2972745768
309	0.8580818192	0.2970833965
310	0.8582329166	0.2969125547
311	0.8582706909	0.2967957014
312	0.8580818192	0.2966473056
313	0.8582329166	0.2964546419
314	0.8583840139	0.2963236744
315	0.8588750803	0.2960387154
316	0.8592528236	0.2958201732
317	0.8591395006	0.2956389083
318	0.859403921	0.2953421746
319	0.8594416953	0.2951177495
320	0.859517244	0.2948615079
321	0.859857213	0.2946141691
322	0.8601216334	0.294365235
323	0.8605371511	0.2942049281
324	0.8605371511	0.2941072577
325	0.8603482794	0.2939534434
326	0.8606126997	0.2937940897
327	0.8606504741	0.2935612301
328	0.8609904431	0.2934640466
329	0.8611793148	0.2933554239
330	0.8612926378	0.2932248584
331	0.8613681865	0.2930390699
332	0.8617459298	0.2928688584
333	0.8617837042	0.2927489873
334	0.8619348015	0.2926131216
335	0.8620858988	0.2924481667
336	0.8622369962	0.2922954525
337	0.8625391909	0.292187786
338	0.8629169342	0.2919396428
339	0.8631813546	0.291677643
340	0.8629169342	0.2914793779
341	0.8629924829	0.2913823407
342	0.8632569033	0.2912008533
343	0.8633702263	0.29110079
344	0.8634835493	0.2908777527
345	0.8635968723	0.2907539911
346	0.863785744	0.2906558457
347	0.8640501643	0.2904580655
348	0.8640879387	0.2903285513
349	0.8641634873	0.2902396748
350	0.8640879387	0.2900683315
351	0.8643145847	0.2899553074
352	0.8642768103	0.2898022226
353	0.8644279077	0.2897062493
354	0.8645034564	0.2894762648
355	0.8649567484	0.2893062566
356	0.8650322971	0.2891010058
357	0.8648434254	0.2889888676
358	0.8654855891	0.2887812186
359	0.8653344917	0.2886044977
360	0.8657122351	0.2884413076
361	0.8657122351	0.2883380925
362	0.8660144298	0.2882309608
363	0.8662033015	0.2879994413
364	0.8664677218	0.2877442998
365	0.8665432705	0.2875519101
366	0.8669587882	0.2874258887
367	0.8672609829	0.2871945232
368	0.8671098855	0.287074185
369	0.8675631776	0.2867630764
370	0.8676765006	0.286558604
371	0.8679786953	0.2864098013
372	0.8683186643	0.2861274178
373	0.86828089	0.2859577925
374	0.868394213	0.2858308124
375	0.8684697616	0.2856423443
376	0.8688097307	0.2854145245
377	0.8690363767	0.2852982716
378	0.8693385714	0.2850351429
379	0.869300797	0.284811959
380	0.8694518944	0.2846977645
381	0.8695652174	0.2845256013
382	0.8697540891	0.2843548416
383	0.8698674121	0.2841567837
384	0.8700562838	0.2840661231
385	0.8700185094	0.2838346526
386	0.8702451554	0.2835692896
387	0.8705851245	0.2834199254
388	0.8710006422	0.2831332387
389	0.8715294829	0.282922912
390	0.8719450006	0.2827256507
391	0.8718316776	0.2825365216
392	0.8722471953	0.2823029541
393	0.8723605183	0.2822129939
394	0.8722471953	0.2820540411
395	0.8722849696	0.2818940578
396	0.8724738413	0.2816681153
397	0.8726249386	0.2814597817
398	0.872889359	0.2813031076
399	0.8733048767	0.2811057814
400	0.873229328	0.2809618195
401	0.87368262	0.2806949847
402	0.8736448457	0.2804395513
403	0.8740603634	0.2802125028
404	0.8744758811	0.2800230237
405	0.8744381068	0.2798758086
406	0.8747025271	0.2797217092
407	0.8750802705	0.279530406
408	0.8750802705	0.279382698
409	0.8751180448	0.2791848972
410	0.8753446908	0.2790000467
411	0.8759113059	0.278632713
412	0.8761757262	0.2783662514
413	0.8763268236	0.2781172131
414	0.8763645979	0.2780121107
415	0.8764779209	0.2775971619
416	0.8764023722	0.2773357522
417	0.8767045669	0.2771721084
418	0.8767801156	0.2770479012
419	0.8771200846	0.2768092245
420	0.8770823103	0.2766483472
421	0.8775356023	0.2763810362
422	0.877724474	0.2762085212
423	0.877837797	0.2759863772
424	0.8781022174	0.2758161471
425	0.8778755713	0.2756262965
426	0.8785177351	0.2753429189
427	0.8784799607	0.2752001166
428	0.8785177351	0.2750401645
